,schedule_id,date,shift_number,shift_start_time,shift_end_time,solver_driver_id,shift_type_id,store_id
47,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,3,141,9
48,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,4,141,9
49,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,8,141,9
50,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,9,141,9
51,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,12,141,9
52,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,13,141,9
53,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,14,141,9
54,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,16,141,9
55,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,17,141,9
56,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,18,141,9
57,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,19,141,9
58,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,21,141,9
59,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,23,141,9
60,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,24,141,9
61,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,26,141,9
62,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,29,141,9
63,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,31,141,9
64,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,32,141,9
65,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,33,141,9
66,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,34,141,9
67,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,36,141,9
68,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,37,141,9
69,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,39,141,9
70,1,2021-11-17,3,08:00:00,2022-07-15 21:00:00,40,141,9
71,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,1,141,9
72,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,2,141,9
73,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,3,141,9
74,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,4,141,9
75,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,6,141,9
76,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,7,141,9
77,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,9,141,9
78,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,10,141,9
79,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,11,141,9
80,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,13,141,9
81,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,15,141,9
82,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,19,141,9
83,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,20,141,9
84,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,21,141,9
85,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,22,141,9
86,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,24,141,9
87,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,25,141,9
88,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,27,141,9
89,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,30,141,9
90,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,34,141,9
91,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,35,141,9
92,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,36,141,9
93,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,38,141,9
94,1,2021-11-18,4,08:00:00,2022-07-15 21:00:00,40,141,9
95,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,1,141,9
96,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,2,141,9
97,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,5,141,9
98,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,10,141,9
99,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,11,141,9
100,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,13,141,9
101,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,15,141,9
102,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,16,141,9
103,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,17,141,9
104,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,19,141,9
105,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,21,141,9
106,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,25,141,9
107,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,26,141,9
108,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,28,141,9
109,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,29,141,9
110,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,30,141,9
111,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,31,141,9
112,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,33,141,9
113,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,36,141,9
114,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,37,141,9
115,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,39,141,9
116,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,40,141,9
117,1,2021-11-19,5,08:00:00,2022-07-15 21:00:00,41,141,9
118,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,1,141,9
119,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,2,141,9
120,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,5,141,9
121,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,6,141,9
122,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,7,141,9
123,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,8,141,9
124,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,9,141,9
125,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,11,141,9
126,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,14,141,9
127,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,16,141,9
128,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,22,141,9
129,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,23,141,9
130,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,24,141,9
131,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,26,141,9
132,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,27,141,9
133,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,28,141,9
134,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,29,141,9
135,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,32,141,9
136,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,34,141,9
137,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,35,141,9
138,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,38,141,9
139,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,39,141,9
140,1,2021-11-20,6,08:00:00,2022-07-15 21:00:00,41,141,9
141,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,3,141,9
142,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,4,141,9
143,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,5,141,9
144,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,6,141,9
145,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,8,141,9
146,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,10,141,9
147,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,11,141,9
148,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,12,141,9
149,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,14,141,9
150,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,15,141,9
151,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,17,141,9
152,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,18,141,9
153,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,20,141,9
154,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,22,141,9
155,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,25,141,9
156,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,26,141,9
157,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,29,141,9
158,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,31,141,9
159,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,33,141,9
160,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,37,141,9
161,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,38,141,9
162,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,39,141,9
163,1,2021-11-21,7,08:00:00,2022-07-15 21:00:00,41,141,9
